Time	RAW:MW2	RAW:PROMIDA	RAW:PROMIDB	RAW:IAC	RAW:CT	RAW:MPH	RAW:MAP	RAW:RPM	RAW:TPS	RAW:INT	RAW:O2	RAW:MALFFLG1	RAW:MALFFLG2	RAW:MALFFLG3	RAW:MWAF1	RAW:VOLT	RAW:MCU2IO	RAW:KNOCK_CNT	RAW:BLM	RAW:O2_CNT	SENSOR:PROMID	SENSOR:IAC	SENSOR:Coolant Temp	SENSOR:SPEED	SENSOR:MAP	SENSOR:RPM	SENSOR:TPS	SENSOR:INT	SENSOR:O2	SENSOR:Battery Voltage	SENSOR:Knock counter	SENSOR:BLM	SENSOR:rich / lean counter	MW2:Vss Pulse Occured	MW2:ESC 43B Ready for second Pwr Enrich	MW2:DRP Occured	MW2:Factory Test Mode (3.9k Ohms	MW2:Diagnostic Mode (0 Ohms)	MW2:ALDL Mode (10k Ohms)	MW2:1st time Idle Flag / High Bat Voltage	MW2:Idle / Cool Flag	MWAF1:Clear Flood Flag / Not Closed Loop	MWAF1:BLM Enable Flag	MWAF1:Low Battery (IAC Inhibited)	MWAF1:4-3 Downshift for TCC unlock	MWAF1:Asynchronous Fuel Flag	MWAF1:Old High Gear Flag	MWAF1:Rich Flag	MWAF1:Closed Loop Flag	MCU2IO:AIR Divert Solenoid ON	MCU2IO:AIR Divert Solenoid ON	MCU2IO:A/C Disabled	MCU2IO:TCC Locked	MCU2IO:Park/Neutral	MCU2IO:No High Gear	MCU2IO:Not Used	MCU2IO:No A/C Requested	MALFFLG1:24  VSS (Vehicle Speed Sensor)	MALFFLG1:23  IAT / MAT low (Air Temperature)	MALFFLG1:22  TPS low (Throttle Position Sensor)	MALFFLG1:21  TPS high (Throttle Position Sensor)	MALFFLG1:15  CT low (Coolant Temperature)	MALFFLG1:14  CT high (Coolant Temperature)	MALFFLG1:13  Oxygen sensor	MALFFLG1:12  Engine not running	MALFFLG2:42  EST (Electronic Spark Timing)	MALFFLG2:41  Not Used	MALFFLG2:35  Not Used	MALFFLG2:34  MAP low (Manifold Air Pressure)	MALFFLG2:33  MAP high (Manifold Air Pressure)	MALFFLG2:32  EGR (Exhaust Gas Recirculation)	MALFFLG2:31  Governor Fail	MALFFLG2:25  IAT / MAT high (Air Temperature)	MALFFLG3:52  CAL Pack missing	MALFFLG3:53  Not Used	MALFFLG3:54  Fuel Pump Relay Faliure	MALFFLG3:55  ADU error	MALFFLG3:51  PROM error	MALFFLG3:45  O2 rich (Oxygen sensor)	MALFFLG3:44  O2 lean (Oxygen sensor)	MALFFLG3:43  Knock ESC
4.5	128	24	147	145	190	0	183	0	28	128	44	0	0	0	0	119	128	0	128	12	6291	145	74.1	0	77.9	0	0.2	128	0.194	11.9	0	128	12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.7	128	24	147	145	190	0	183	0	28	128	44	0	0	0	0	119	128	0	128	12	6291	145	74.1	0	77.9	0	0.2	128	0.194	11.9	0	128	12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6.9	128	24	147	145	190	0	183	0	28	128	44	0	0	0	0	119	128	0	128	12	6291	145	74.1	0	77.9	0	0.2	128	0.194	11.9	0	128	12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8.1	128	24	147	145	190	0	175	0	28	128	46	0	0	0	0	105	128	0	128	12	6291	145	74.1	0	74.9	0	0.2	128	0.203	10.5	0	128	12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.3	128	24	147	145	190	0	81	50	28	128	144	0	0	0	64	115	128	168	125	15	6291	145	74.1	0	40.2	1250	0.2	128	0.636	11.5	168	125	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.4	132	24	147	145	190	0	65	49	28	128	238	0	0	0	64	128	128	244	125	15	6291	145	74.1	0	34.3	1225	0.2	128	1.052	12.8	244	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11.6	128	24	147	145	190	0	73	47	28	128	236	0	0	0	64	133	128	64	125	15	6291	145	74.1	0	37.3	1175	0.2	128	1.043	13.3	64	125	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12.8	132	24	147	145	190	0	72	47	28	128	235	0	0	0	64	138	128	141	125	15	6291	145	74.1	0	36.9	1175	0.2	128	1.039	13.8	141	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14.0	132	24	147	145	190	0	70	49	28	128	233	0	0	0	64	138	128	216	125	15	6291	145	74.1	0	36.2	1225	0.2	128	1.030	13.8	216	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15.2	132	24	147	145	190	0	67	51	28	128	232	0	0	0	64	138	128	37	125	15	6291	145	74.1	0	35.1	1275	0.2	128	1.025	13.8	37	125	15	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
